Type;Class;name;Bonus;;;;;
Armor Sets;Sets;Alberich;Thorn;;;;;
Armor Sets;Sets;Albinauric;;;;;;
Armor Sets;Sets;All-Knowing;;;;;;
Armor Sets;Sets;Aristocrat;;;;;;
Armor Sets;Sets;Astrologer;;;;;;
Armor Sets;Sets;Azur's Glintstone;Glintstone;;;;;
Armor Sets;Sets;Bandit;;;;;;
Armor Sets;Sets;Banished Knight;;;;;;
Armor Sets;Sets;Battlemage;;;;;;
Armor Sets;Sets;Beast Champion;;;;;;
Armor Sets;Sets;Black Knife;;;;;;
Armor Sets;Sets;Blackflame Monk;;;;;;
Armor Sets;Sets;Blaidd;;;;;;
Armor Sets;Sets;Bloodhound Knight;;;;;;
Armor Sets;Sets;Bloodsoaked;;;;;;
Armor Sets;Sets;Blue Cloth;;;;;;
Armor Sets;Sets;Blue Festive;;;;;;
Armor Sets;Sets;Blue Silver;;;;;;
Armor Sets;Sets;Briar;;;;;;
Armor Sets;Sets;Bull-Goat;;;;;;
Armor Sets;Sets;Carian Knight;;;;;;
Armor Sets;Sets;Chain;;;;;;
Armor Sets;Sets;Champion;;;;;;
Armor Sets;Sets;Cleanrot;;;;;;
Armor Sets;Sets;Commoner;;;;;;
Armor Sets;Sets;Confessor;;;;;;
Armor Sets;Sets;Consort;;;;;;
Armor Sets;Sets;Crucible Axe;Erdtree;;;;;
Armor Sets;Sets;Crucible Tree;Erdtree;;;;;
Armor Sets;Sets;Cukoo Knight;;;;;;
Armor Sets;Sets;Depraved Perfumer;;;;;;
Armor Sets;Sets;Drake Knight;;;;;;
Armor Sets;Sets;Duelist;;;;;;
Armor Sets;Sets;Eccentric;;;;;;
Armor Sets;Sets;Elden Lord;;;;;;
Armor Sets;Sets;Errant Sorcerer;;;;;;
Armor Sets;Sets;Exile;;;;;;
Armor Sets;Sets;Festive;;;;;;
Armor Sets;Sets;Fia;;;;;;
Armor Sets;Sets;Finger Maiden;;;;;;
Armor Sets;Sets;Fingerprint;;;;;;
Armor Sets;Sets;Fire Monk;;;;;;
Armor Sets;Sets;Fire Prelate;;;;;;
Armor Sets;Sets;Fur;;;;;;
Armor Sets;Sets;Gelmir Knight;;;;;;
Armor Sets;Sets;General Radahn;;;;;;
Armor Sets;Sets;Godrick Foot Soldier;;;;;;
Armor Sets;Sets;Godrick Knight;;;;;;
Armor Sets;Sets;Godrick Soldier;;;;;;
Armor Sets;Sets;Godskin Apostle;;;;;;
Armor Sets;Sets;Godskin Noble;Black Flame;;;;;
Armor Sets;Sets;Goldmask;;;;;;
Armor Sets;Sets;Guardian;;;;;;
Armor Sets;Sets;Guilty;;;;;;
Armor Sets;Sets;Haligtree Foot Soldier;;;;;;
Armor Sets;Sets;Haligtree Knight;;;;;;
Armor Sets;Sets;Haligtree Soldier;;;;;;
Armor Sets;Sets;High Page;;;;;;
Armor Sets;Sets;Highwayman;;;;;;
Armor Sets;Sets;Hoslow;;;;;;
Armor Sets;Sets;House Marais;;;;;;
Armor Sets;Sets;Iron;;;;;;
Armor Sets;Sets;Juvenile Scholar;;;;;;
Armor Sets;Sets;Kaiden;;;;;;
Armor Sets;Sets;Knight;;;;;;
Armor Sets;Sets;Land of Reeds;;;;;;
Armor Sets;Sets;Lazuli Sorcerer;;;;;;
Armor Sets;Sets;Leather;;;;;;
Armor Sets;Sets;Leyndell Foot Soldier;;;;;;
