Main Hand;;;;;Second Hand;;;;Magic;;;;;Armor;;;;Main Hand;;;Second Hand;Magic;;Armor Set
Class;Weapon;Dual;2 Handed;;Class;Object;Catalist bonus;;Type;School;Spell;Slots;;Set;Bonus;;;Weapon;Dual Wielding;2 Handed;Object;N¡;Spells;
Daggers;Misericorde;No;No;Daggers;Glintstone Staves;Azur's Glintstone Staff;;;Sorceries;Carian;Magic Glintblade;1;;Alberich;Thorn;;;Golem Fist;Yes;No;None;1;;
;Great Knife;No;No;Daggers;;Lusat's Glintstone Staff;;;;;Glintblade Trio;1;;Albinauric;;;;;;;;2;;
;Bloodstained Dagger;No;No;Daggers;;Carian Regal Scepter;Carian;;;;Glintblade Phalanx;1;;All-Knowing;;;;;;;;3;;
;Erdsteel Dagger;No;No;Daggers;;Gelmir Glintstone Staff;Magma;;;;Carian Phalanx;1;;Aristocrat;;;;;;;;4;;
;Wakizashi;No;No;Daggers;;Prince of Death's Staff;Death;;;;Greatblade Phalanx;1;;Astrologer;;;;;;;;5;;
;Scorpion's Stinger;No;No;Daggers;Universal Catalist;Staff of the Great Beyond;;;;;Magic Downpour;1;;Azur's Glintstone;Glintstone;;;;;;;6;;
;Cinquedea;No;No;Daggers;Sacred Seals;Erdtree Seal;;;;;Loretta's Greatbow;1;;Bandit;;;;;;;;7;;
;Glintstone Kris;No;No;Daggers;;Golden Order Seal;Golden Order;;;;Loretta's Mastery;1;;Banished Knight;;;;;;;;8;;
;Reduvia;No;No;Daggers;;Gravel Stone Seal;Dragon Cult;;;;Rennala's Full Moon;2;;Battlemage;;;;;;;;9;;
;Blade of Calling;No;No;Daggers;;Giant's Seal;Giant's Flame;;;;Ranni's Dark Moon;2;;Beast Champion;;;;;;;;10;;
;Black Knife;No;No;Daggers;;Godslayer's Seal;Black Flame;;;;Rellana's Twin Moons;2;;Black Knife;;;Variable;264;;;5;;;
;Fire Knight's Shortsword;No;No;Daggers;;Clawmark Seal;Bestial;;;;Carian Slicer;1;;Blackflame Monk;;;;;;;;;;
Throwing Blades;Smithscript Dagger;Yes;No;Throwing Blades;;Frenzied Flame Seal;Frenzied Flame;;;;Carian Greatsword;1;;Blaidd;;;;;;;;;;
Straight Swords;Longsword;No;No;Straight Swords;;Dragon Communion Seal;Dragon Communion;;;;Carian Piercer;1;;Bloodhound Knight;;;;;;;;;;
;Broadsword;No;No;Straight Swords;;Dryleaf Seal;Golden Order;;;;Adula's Moonblade;1;;Bloodsoaked;;;;;;;;;;
;Lordsworn's Straight Sword;No;No;Straight Swords;;Fire Knight's Seal;Messmer's Flame;;;;Lucidity;1;;Blue Cloth;;;;;;;;;;
;Warhawk's Talon;No;No;Straight Swords;Small Shields;Coil Shield;;;;;Carian Retaliation;1;;Blue Festive;;;;;;;;;;
;Lazuli Glintstone Sword;No;No;Straight Swords;Medium Shields;Brass Shield;;;;;Miriam's Vanishing;1;;Blue Silver;;;;;;;;;;
