Type;School;Spell;Slots
Sorceries;Carian;Magic Glintblade;1
Sorceries;Carian;Glintblade Trio;1
Sorceries;Carian;Glintblade Phalanx;1
Sorceries;Carian;Carian Phalanx;1
Sorceries;Carian;Greatblade Phalanx;1
Sorceries;Carian;Magic Downpour;1
Sorceries;Carian;Loretta's Greatbow;1
Sorceries;Carian;Loretta's Mastery;1
Sorceries;Carian;Rennala's Full Moon;2
Sorceries;Carian;Ranni's Dark Moon;2
Sorceries;Carian;Rellana's Twin Moons;2
Sorceries;Carian;Carian Slicer;1
Sorceries;Carian;Carian Greatsword;1
Sorceries;Carian;Carian Piercer;1
Sorceries;Carian;Adula's Moonblade;1
Sorceries;Carian;Lucidity;1
Sorceries;Carian;Carian Retaliation;1
Sorceries;Carian;Miriam's Vanishing;1
Sorceries;Cold;Glintstone Icecrag;1
Sorceries;Cold;Freezing Mist;1
Sorceries;Cold;Frozen Armament;1
Sorceries;Cold;Zamor Ice Storm;1
Sorceries;Crystalian;Shattering Crystal;1
Sorceries;Crystalian;Crystal Torrent;1
Sorceries;Crystalian;Crystal Release;1
Sorceries;Death;Rancorcall;1
Sorceries;Death;Ancient Death Rancor;1
Sorceries;Death;Rings of Spectral Light;1
Sorceries;Death;Explosive Ghostflame;1
Sorceries;Death;Fia's Mist;1
Sorceries;Death;Tibia's Summons;1
Sorceries;Death;Mass of Putrescence;1
Sorceries;Death;Vortex of Putrescence;2
Sorceries;Finger;Glintstone Nail;1
Sorceries;Finger;Glintstone Nails;1
Sorceries;Finger;Fleeting Microcosm;1
Sorceries;Finger;Cherishing Fingers;1
Sorceries;Glintstone;Glintstone Pebble;1
Sorceries;Glintstone;Swift Glintstone Shard;1
Sorceries;Glintstone;Great Glintstone Shard;1
Sorceries;Glintstone;Glintstone Cometshard;1
Sorceries;Glintstone;Comet;1
Sorceries;Glintstone;Shard Spiral;1
Sorceries;Glintstone;Glintstone Stars;1
Sorceries;Glintstone;Star Shower;1
Sorceries;Glintstone;Glintstone Arc;1
Sorceries;Glintstone;Crystal Barrage;1
Sorceries;Glintstone;Crystal Burst;1
Sorceries;Glintstone;Cannon of Haima;1
Sorceries;Glintstone;Gavel of Haima;1
Sorceries;Glintstone;Shatter Earth;1
Sorceries;Glintstone;Rock Blaster;1
Sorceries;Glintstone;Scholar's Armament;1
Sorceries;Glintstone;Scholar's Shield;1
Sorceries;Glintstone;Starlight;1
Sorceries;Glintstone;Terra Magica;1
Sorceries;Glintstone;Thops's Barrier;1
Sorceries;Glintstone;Comet Azur;3
Sorceries;Glintstone;Stars of Ruin;1
Sorceries;Glintstone;Founding Rain of Stars;2
Sorceries;Gravity;Gravity Well;1
Sorceries;Gravity;Collapsing Stars;1
Sorceries;Gravity;Gravitational Missile;1
Sorceries;Gravity;Rock Sling;1
Sorceries;Gravity;Blades of Stone;2
Sorceries;Gravity;Meteorite;1
Sorceries;Gravity;Meteorite of Astel;2
Sorceries;Magma;Magma Shot;1
Sorceries;Magma;Roiling Magma;1
Sorceries;Magma;Gelmir's Fury;1
Sorceries;Magma;Rykard's Rancor;2
Sorceries;Night;Ambush Shard;1
Sorceries;Night;Night Shard;1
Sorceries;Night;Night Comet;1
Sorceries;Night;Night Maiden's Mist;1
Sorceries;Night;Unseen Blade;1
Sorceries;Night;Unseen Form;1
Sorceries;Night;Eternal Darkness;1
Sorceries;Oracle;Oracle Bubbles;1
Sorceries;Oracle;Great Oracular Bubble;1
Sorceries;Thorn;Briars of Sin;1
Sorceries;Thorn;Briars of Punishment;1
Sorceries;Thorn;Mantle of Thorns;1
Sorceries;Thorn;Impenetrable Thorns;1
Incantations;Bestial;Beast Claw;1
Incantations;Bestial;Gurranq's Beast Claw;1
Incantations;Bestial;Bestial Sling;1
Incantations;Bestial;Stone of Gurranq;1
Incantations;Bestial;Bestial Constitution;1
Incantations;Bestial;Bestial Vitality;1
Incantations;Black Flame;Black Flame;1
Incantations;Black Flame;Scouring Black Flame;1
Incantations;Black Flame;Black Flame Ritual;1
Incantations;Black Flame;Black Flame Blade;1
Incantations;Black Flame;Black Flame's Protection;1
Incantations;Black Flame;Noble Presence;1
Incantations;Blood;Swarm of Flies;1
Incantations;Blood;Bloodflame Talons;1
Incantations;Blood;Furious Blade of Ansbach;1
Incantations;Blood;Bloodboon;1
Incantations;Blood;Bloodflame Blade;1
Incantations;Dragon Communion;Dragonfire;1
Incantations;Dragon Communion;Agheel's Flame;1
Incantations;Dragon Communion;Magma Breath;1
Incantations;Dragon Communion;Theodorix's Magma;1
Incantations;Dragon Communion;Glintstone Breath;1
Incantations;Dragon Communion;Smarag's Glintstone Breath;1
Incantations;Dragon Communion;Rotten Breath;1
Incantations;Dragon Communion;Ekzykes's Decay;1
Incantations;Dragon Communion;Dragonice;1
Incantations;Dragon Communion;Borealis's Mist;1
Incantations;Dragon Communion;Ghostflame Breath;1
Incantations;Dragon Communion;Placidusax's ruin;3
Incantations;Dragon Communion;Dragonclaw;1
Incantations;Dragon Communion;Dragonmaw;1
Incantations;Dragon Communion;Greyoll's Roar;2
Incantations;Dragon Communion;Bayle's Tyranny;2
Incantations;Dragon Communion;Bayle's Flame Lightning;2
Incantations;Dragon Cult;Lightning Spear;1
Incantations;Dragon Cult;Knight's Lightning Spear;1
Incantations;Dragon Cult;Lightning Strike;1
Incantations;Dragon Cult;Honed Bolt;1
Incantations;Dragon Cult;Ancient Dragons' Lightning Spear;1
Incantations;Dragon Cult;Ancient Dragons' Lightning Strike;1
Incantations;Dragon Cult;Lansseax's Glaive;1
Incantations;Dragon Cult;Fortissax's Lightning Spear;1
Incantations;Dragon Cult;Frozen Lightning Spear;1
Incantations;Dragon Cult;Death Lightning;2
Incantations;Dragon Cult;Electrify Armament;1
Incantations;Dragon Cult;Electrocharge;1
Incantations;Dragon Cult;Dragonbolt Blessing;1
Incantations;Dragon Cult;Vyke's Dragonbolt;1
Incantations;Dragon Cult;Dragonbolt of Florissax;1
Incantations;Erdtree;Golden Vow;1
Incantations;Erdtree;Barrier of Gold;1
Incantations;Erdtree;Golden Lightning Fortification;1
Incantations;Erdtree;Protection of the Erdtree;1
Incantations;Erdtree;Wrath of Gold;1
Incantations;Erdtree;Warth from Afar;1
Incantations;Erdtree;Heal from Afar;1
Incantations;Erdtree;Erdtree Heal;1
Incantations;Erdtree;Blessing's Boon;1
Incantations;Erdtree;Blessing of the Erdtree;1
Incantations;Erdtree;Minor Erdtree;2
Incantations;Erdtree;Aspects of the Crucible : Breath;1
Incantations;Erdtree;Aspects of the Crucible :Tail;1
Incantations;Erdtree;Aspects of the Crucible : Horns;1
Incantations;Erdtree;Aspects of the Crucible : Thorns;1
Incantations;Erdtree;Aspects of the Crucible : Bloom;1
Incantations;Erdtree;Land of Shadow;1
Incantations;Erdtree;Elden Stars;2
Incantations;Erdtree;Black Blade;2
Incantations;Frenzied Flame;The Flame of Frenzy;1
Incantations;Frenzied Flame;Unendurable Frenzy;1
Incantations;Frenzied Flame;Midra's Flame of Frenzy;2
Incantations;Frenzied Flame;Frenzied Burst;1
Incantations;Frenzied Flame;Howl of Shabriri;1
Incantations;Frenzied Flame;Inescapable Frenzy;1
Incantations;Giant's Flame;Catch Flame;1
Incantations;Giant's Flame;O, Flame!;1
Incantations;Giant's Flame;Flame Sling;1
Incantations;Giant's Flame;Giantsflame Take Thee;2
Incantations;Giant's Flame;Flame, Fall Upon Them;1
Incantations;Giant's Flame;Flame of the Fell God;2
Incantations;Giant's Flame;Surge, O Flame!;1
Incantations;Giant's Flame;Whirl, O Flame!;1
Incantations;Giant's Flame;Burn, O Flame!;1
Incantations;Giant's Flame;Flame, Cleanse Me;1
Incantations;Giant's Flame;Flame, Protect Me;1
Incantations;Giant's Flame;Flame, Grant Me Strength;1
Incantations;Giant's Flame;Fire's Deadly Sin;1
Incantations;Golden Order;Discus of Light;1
Incantations;Golden Order;Triple Rings of Light;1
Incantations;Golden Order;Radagon's Rings of Light;1
Incantations;Golden Order;Litany of Proper Death;1
Incantations;Golden Order;Order Healing;1
Incantations;Golden Order;Order's Blade;1
Incantations;Golden Order;Immutable Shield;1
Incantations;Golden Order;Law of Causality;1
Incantations;Golden Order;Law of Regression;1
Incantations;Messmer's Flame;Fire Serpent;1
Incantations;Messmer's Flame;Rain of Fire;1
Incantations;Messmer's Flame;Messmer's Orb;2
Incantations;Miquellan;Multilayred ring of Light;1
Incantations;Miquellan;Light of Miquella;2
Incantations;Servants of Rot;Poison Mist;1
Incantations;Servants of Rot;Poison Armament;1
Incantations;Servants of Rot;Pest Threads;1
Incantations;Servants of Rot;Pest-Thread Spears;1
Incantations;Servants of Rot;Scarlet Aeonia;3
Incantations;Servants of Rot;Rotten Butterflies;1
Incantations;Spiral;Golden Arcs;1
Incantations;Spiral;Giant Golden Arc;1
Incantations;Spiral;Spira;2
Incantations;Spiral;Watchful Spirit;1
Incantations;Spiral;Divine Bird Feathers;1
Incantations;Spiral;Divine Beast Tornado;1
Incantations;Spiral;Roar of Rugalea;1
Incantations;Two Fingers;Urgent Heal;1
Incantations;Two Fingers;Heal;1
Incantations;Two Fingers;Great Heal;1
Incantations;Two Fingers;Lord's Heal;1
Incantations;Two Fingers;Cure Poison;1
Incantations;Two Fingers;Lord's Aid;1
Incantations;Two Fingers;Magic Fortification;1
Incantations;Two Fingers;Flame Fortification;1
Incantations;Two Fingers;Lightning Fortification;1
Incantations;Two Fingers;Divine Fortification;1
Incantations;Two Fingers;Lord's Divine Fortification;1
Incantations;Two Fingers;Rejection;1
Incantations;Two Fingers;Shadow Bait;1
Incantations;Two Fingers;Darkness;1
Incantations;Two Fingers;Assassin's Appraoch;1
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
