Class;Weapon;Dual;2 Handed;leveled
Daggers;Misericorde;No;No;Yes
Daggers;Dagger;No;No;No
Daggers;Parrying Dagger;No;No;Yes
Daggers;Great Knife;No;No;Yes
Daggers;Bloodstained Dagger;No;No;Yes
Daggers;Erdsteel Dagger;No;No;Yes
Daggers;Wakizashi;No;No;Yes
Daggers;Celebrant's Sickle;No;No;No
Daggers;Ivory Sickle;No;No;No
Daggers;Crystal Knife;No;No;No
Daggers;Scorpion's Stinger;No;No;Yes
Daggers;Cinquedea;No;No;Yes
Daggers;Glintstone Kris;No;No;Yes
Daggers;Reduvia;No;No;Yes
Daggers;Blade of Calling;No;No;Yes
Daggers;Black Knife;No;No;Yes
Daggers;Main Gauche;No;No;Yes
Daggers;Fire Knight's Shortsword;No;No;Yes
Throwing Blades;Smithscript Dagger;Yes;No;Yes
Straight Swords;Longsword;No;No;Yes
Straight Swords;Broadsword;No;No;Yes
Straight Swords;Lordsworn's Straight Sword;No;No;Yes
Straight Swords;Warhawk's Talon;No;No;Yes
Straight Swords;Lazuli Glintstone Sword;No;No;Yes
Straight Swords;Carian Knight's Sword;No;No;Yes
Straight Swords;Crystal Sword;No;No;Yes
Straight Swords;Rotten Crystal Sword;No;No;Yes
Straight Swords;Miquellan Knight's Sword;No;No;Yes
Straight Swords;Golden Epitaph;No;No;Yes
Straight Swords;Sword of St.Trina;No;No;Yes
Straight Swords;Regalia of Eochaid;No;No;Yes
Straight Swords;Coded Sword;No;No;Yes
Straight Swords;Sword of Night and Flame;No;No;Yes
Straight Swords;Velvet Sword of St.Trina;No;No;Yes
Straight Swords;Stone-Sheathed Sword;No;No;No
Straight Swords;Short Sword;No;No;No
Straight Swords;Weathered Straight Sword;No;No;No
Straight Swords;Noble's Slender Sword;No;No;Yes
Straight Swords;Cane Sword;No;No;No
Straight Swords;Sword of Light;No;No;Yes
Straight Swords;Sword of Darkness;No;No;Yes
Light Greatswords;Milady;No;Yes;Yes
Light Greatswords;Leda's Sword;No;Yes;Yes
Light Greatswords;Rellana's Twin Blades;Yes;No;Yes
Greatswords;Bastard Sword;No;Yes;Yes
Greatswords;Claymore;No;Yes;Yes
Greatswords;Iron Greatsword;No;Yes;Yes
Greatswords;Lordsworn's Greatsword;No;Yes;Yes
Greatswords;Knight's Greatsword;No;Yes;Yes
Greatswords;Banished Knight's Greatsword;No;Yes;Yes
Greatswords;Flamberge;No;Yes;Yes
Greatswords;Gargoyle's Greatsword;No;Yes;Yes
Greatswords;Gargoyle's Blackblade;No;Yes;Yes
Greatswords;Inseparable Sword;No;Yes;Yes
Greatswords;Sword of Milos;No;Yes;Yes
Greatswords;Marais Executioner's Sword;No;Yes;Yes
Greatswords;Ordovis's Greatsword;No;Yes;Yes
Greatswords;Alabaster Lord's Sword;No;Yes;Yes
Greatswords;Death's Poker;No;Yes;Yes
Greatswords;Helphen's Steeple;No;Yes;Yes
Greatswords;Blasphemous Blade;No;Yes;Yes
Greatswords;Golden Order Greatsword;No;Yes;Yes
Greatswords;Dark Moon Greatsword;No;Yes;Yes
Greatswords;Sacred Relic Sword;No;Yes;Yes
Greatswords;Lizard Greatsword;No;No;No
Greatswords;Forked Greatsword;No;No;Yes
Greatswords;Greatsword of Damnation;No;Yes;Yes
Greatswords;Greatsword of Solitude;No;Yes;Yes
Colossal Swords;Zweihander;No;Yes;Yes
Colossal Swords;Greatsword;No;Yes;Yes
Colossal Swords;Watchdog's Greatsword;No;Yes;Yes
Colossal Swords;Troll's Golden Sword;No;Yes;Yes
Colossal Swords;Troll Knight's Sword;No;Yes;Yes
Colossal Swords;Royal Greatsword;No;Yes;Yes
Colossal Swords;Grafted Blade Greatsword;No;Yes;Yes
Colossal Swords;Ruins Greatsword;No;Yes;Yes
Colossal Swords;Starscourge Greatsword;Yes;No;Yes
Colossal Swords;Godslayer's Greatsword;No;Yes;Yes
Colossal Swords;Maliketh's Black Blade;No;Yes;Yes
Colossal Swords;Fire Knight's Greatsword;No;Yes;Yes
Colossal Swords;Ancient Meteoric Ore Greatsword;No;Yes;Yes
Colossal Swords;Moonrithyll's Knight Sword;No;Yes;Yes
Colossal Swords;Greatsword of Radahn (Lord);Yes;No;Yes
Colossal Swords;Greatsword of Radahn (Light);Yes;No;Yes
Thrusting Swords;Rapier;No;No;Yes
Thrusting Swords;Estoc;No;No;Yes
Thrusting Swords;Noble's Estoc;No;No;Yes
Thrusting Swords;Cleanrot Knight's Sword;No;No;Yes
Thrusting Swords;Rogier's Rapier;No;No;Yes
Thrusting Swords;Antspur Rapier;Yes;No;Yes
Thrusting Swords;Frozen Needle;No;No;Yes
Thrusting Swords;Carian Sorcery Sword;No;No;Yes
Heavy Thrusting Swords;Great Epee;No;Yes;Yes
Heavy Thrusting Swords;Godskin Stitcher;No;Yes;Yes
Heavy Thrusting Swords;Bloody Helice;No;Yes;Yes
Heavy Thrusting Swords;Dragon King's Cragblade;No;Yes;Yes
Heavy Thrusting Swords;Sword Lance;No;Yes;Yes
Heavy Thrusting Swords;Queelign's Greatsword;No;Yes;Yes
Curved Swords;Scimitar;No;No;Yes
Curved Swords;Falchion;No;No;Yes
Curved Swords;Shamshir;No;No;Yes
Curved Swords;Grossmesser;No;No;Yes
Curved Swords;Bandit's Curved Sword;No;No;Yes
Curved Swords;Scavenger's Curved Sword;Yes;No;Yes
Curved Swords;Beastman's Curved Sword;No;No;Yes
Curved Swords;Magma Blade;No;No;Yes
Curved Swords;Nox Flowing Sword;No;No;Yes
Curved Swords;Wing of Astel;No;No;Yes
Curved Swords;Eclipse Shotel;No;No;Yes
Curved Swords;Shotel;No;No;No
Curved Swords;Mantis Blade;No;No;No
Curved Swords;Flowing Curved Sword;No;No;No
Curved Swords;Serpent-God's Curved Sword;No;No;No
Curved Swords;Spirit Sword;No;No;Yes
Curved Swords;Falx;Yes;No;Yes
Curved Swords;Dancing Blade of Ranah;Yes;No;Yes
Curved Swords;Horned Warrior's Sword;Yes;No;Yes
Curved Greatswords;Dismounter;No;Yes;Yes
Curved Greatswords;Omen Cleaver;No;Yes;Yes
Curved Greatswords;Monk's Flameblade;No;Yes;Yes
Curved Greatswords;Beastman's Cleaver;No;Yes;Yes
Curved Greatswords;Bloodhound's Fang;No;Yes;Yes
Curved Greatswords;Onyx Lord's Greatsword;No;Yes;Yes
Curved Greatswords;Zamor Curved Sword;No;Yes;Yes
Curved Greatswords;Magma Wyrm's Scalesword;No;Yes;Yes
Curved Greatswords;Morgott's Curved Sword;No;Yes;Yes
Curved Greatswords;Horned Warrior's Greatsword;No;Yes;Yes
Curved Greatswords;Freyja's Greatsword;No;Yes;Yes
Backhand Blades;Backhand Blade;Yes;No;Yes
Backhand Blades;Smithscript Cirque;Yes;No;Yes
Backhand Blades;Curseblade's Cirque;Yes;No;Yes
Katanas;Uchigatana;No;Yes;Yes
Katanas;Nagakiba;No;Yes;Yes
Katanas;Serpentbone Blade;No;Yes;Yes
Katanas;Meteoric Ore Blade;No;Yes;Yes
Katanas;Moonveil;No;Yes;Yes
Katanas;Rivers of Blood;No;Yes;Yes
Katanas;Dragonscale Blade;No;Yes;Yes
Katanas;Hand of Malenia;No;Yes;Yes
Katanas;Star-Lined Sword;No;Yes;Yes
Katanas;Sword of Night;No;Yes;Yes
Great Katanas;Great Katana;No;Yes;Yes
Great Katanas;Dragon-Hunter's Great Katana;No;Yes;Yes
Great Katanas;Rakshasa's Great Katana;No;Yes;Yes
Twinblades;Twinblade;No;Yes;Yes
Twinblades;Twinned Knight Swords;No;Yes;Yes
Twinblades;Godskin Peeler;No;Yes;Yes
Twinblades;Gargoyle's Twinblade;No;Yes;Yes
Twinblades;Gargoyle's Black Blades;No;Yes;No
Twinblades;Eleonora's Poleblade;No;Yes;Yes
Twinblades;Black Steel Twinblade;No;Yes;Yes
Twinblades;Euporia;No;Yes;Yes
Axes;Battle Axe;No;No;Yes
Axes;Warped Axe;No;No;Yes
Axes;Iron Cleaver;No;No;Yes
Axes;Highland Axe;No;No;Yes
Axes;Icerind Hatchet;No;No;Yes
Axes;Ripple Blade;No;No;Yes
Axes;Stormhawk Axe;No;No;Yes
Axes;Rosus' Axe;No;No;Yes
Axes;Forked-Tongue Hatchet;No;No;No
Axes;Hand Axe;No;No;No
Axes;Forked Hatchet;No;No;No
Axes;Jawbone Axe;No;No;No
Axes;Celebrant's Cleaver;No;No;No
Axes;Sacrificial Axe;No;No;No
Axes;Smithscript Axe;No;No;Yes
Axes;Messmer Soldier's Axe;No;No;Yes
Axes;Death Knight's Twin Axes;Yes;No;Yes
Greataxes;Greataxe;No;Yes;Yes
Greataxes;Crescent Moon Axe;No;Yes;Yes
Greataxes;Longhaft Axe;No;Yes;Yes
Greataxes;Executioner's Greataxe;No;Yes;Yes
Greataxes;Great Omenkiller Cleaver;Yes;No;Yes
Greataxes;Rusted Anchor;No;Yes;Yes
Greataxes;Butchering Knife;No;Yes;Yes
